POLLSTER,METHOD,POLLS ANALYZED,SIMPLE AVERAGE ERROR,RACES CALLED CORRECTLY,ADVANCED +/-,PREDICTIVE +/-,538 GRADE,MEAN-REVERTED BIAS
Mason-Dixon Polling & Strategy,Live,433,5.1,87%,-0.6,-0.3,B+,R+0.6
Quinnipiac University,Live,207,4.6,83%,-0.2,-0.2,B+,D+0.2
CNN/Opinion Research Corp.,Live,103,5.5,72%,-0.2,-0.2,B+,D+0.0
Public Opinion Strategies,Online/live,64,5.7,70%,-0.4,0,B+,R+1.5
EPIC-MRA,Live,49,5.5,78%,-0.8,-0.2,B+,R+0.2
Research & Polling Inc.,Live,32,4.5,84%,-1.5,-0.2,B+,R+0.9
Angus Reid Global,Online,30,3.2,93%,-2.6,0,B+,R+1.2
Public Policy Polling,IVR/text,423,5,80%,-0.4,0.1,B,D+0.3
YouGov,Online,416,4.9,88%,-0.2,0.3,B,D+0.4
American Research Group,Live,273,7.4,75%,0.3,0.2,B,R+0.2
Gallup,Live,84,4.3,69%,0.6,0.1,B,R+0.4
GQR Research (GQRR),Online/live,57,4.5,56%,0.1,0.1,B,D+2.1
Landmark Communications,IVR/live,39,4.8,82%,-0.8,0,B,D+1.5
Opinion Savvy/InsiderAdvantage,IVR/online,119,7.2,70%,0.3,0.4,B-,D+1.1
University of New Hampshire,Live,112,5.9,85%,0.5,0.3,B-,D+2.8
Ipsos,Online,66,4.6,70%,0.4,0.5,B-,D+0.4
Dan Jones & Associates,Online/live,38,6.9,95%,-0.2,0.4,B-,D+1.0
Data for Progress,Online/text,31,8.9,81%,-0.2,0.5,B-,D+0.0
Research Co.,Online,21,4.1,88%,-1.9,0.3,B-,R+0.5
